timestamp,open,high,low,close,volume
2021-03-08,29.5400,30.3900,29.4200,29.9900,55804592
2021-03-05,29.0100,29.7400,28.9800,29.6200,58713960
2021-03-04,28.7700,29.3200,28.6500,28.9200,60753233
2021-03-03,28.1800,28.9300,28.1800,28.7200,57266264
2021-03-02,28.0800,28.4600,28.0800,28.2200,35724601
2021-03-01,28.1600,28.4500,28.0200,28.0900,44403416
2021-02-26,28.6800,28.7900,27.8900,27.8900,76139963
2021-02-25,29.1600,29.2600,28.5900,28.6300,58002600
2021-02-24,29.3000,29.5900,29.2000,29.3800,34631901
2021-02-23,29.6500,29.8100,29.1127,29.1800,46960190
2021-02-22,28.9900,29.5700,28.9800,29.3200,34616174
2021-02-19,29.2900,29.3300,28.9800,29.0000,29702976
2021-02-18,29.5500,29.5900,29.2100,29.2300,27002688
2021-02-17,28.8200,29.7400,28.8000,29.5700,50696632
2021-02-16,28.8000,29.1800,28.7300,28.9700,38700704
2021-02-12,28.6000,28.8400,28.5900,28.8000,28712931
2021-02-11,28.5100,28.7000,28.4600,28.6900,33741085
2021-02-10,28.6400,28.6550,28.4800,28.5500,42114061
2021-02-09,28.6600,28.7800,28.5600,28.6200,32667571
2021-02-08,28.9700,28.9900,28.6200,28.7700,32069007
2021-02-05,28.9800,29.0700,28.8600,28.9300,27570810
2021-02-04,28.5200,28.8900,28.4650,28.8900,31723396
2021-02-03,28.5100,28.6973,28.4500,28.5100,40384252
2021-02-02,28.7800,28.8200,28.3800,28.5400,42648106
2021-02-01,28.9400,28.9750,28.3300,28.6500,42881245
2021-01-29,28.7800,29.0400,28.5700,28.6300,50054934
2021-01-28,29.0300,29.7200,28.7800,28.8000,52642495
2021-01-27,29.0350,30.2000,28.9600,29.1400,73550651
2021-01-26,29.1000,29.8400,29.0700,29.7500,50518939
2021-01-25,28.7600,29.1800,28.4900,29.1100,51913343
2021-01-22,28.8100,29.0500,28.5710,28.9300,34724599
2021-01-21,28.9100,29.0750,28.7650,28.8300,28045402
2021-01-20,29.0000,29.0100,28.7400,28.9600,32542486
2021-01-19,29.2800,29.3800,28.9000,28.9500,40763961
2021-01-15,28.9500,29.2900,28.8208,29.1700,40653079
2021-01-14,28.6500,29.7650,28.5300,29.2900,63858747
2021-01-13,28.7900,28.8000,28.4700,28.6100,38809033
2021-01-12,28.8700,28.8700,28.5100,28.7500,43292641
2021-01-11,28.7400,29.0200,28.6800,28.8700,30857037
2021-01-08,29.1400,29.2100,28.7500,29.0200,54736872
2021-01-07,30.0200,30.0900,29.6800,29.9100,53825775
2021-01-06,29.4100,30.0000,29.3650,29.8300,55480035
2021-01-05,29.5000,29.7500,29.1900,29.2600,62729974
2021-01-04,29.3900,29.4900,29.0200,29.4400,65484028
2020-12-31,28.4500,28.8000,28.3900,28.7600,38622254
2020-12-30,28.5400,28.6800,28.4300,28.4900,34347761
2020-12-29,28.6900,28.8800,28.5100,28.5400,36617545
2020-12-28,28.9300,28.9591,28.5000,28.5500,41363076
2020-12-24,28.7300,28.7600,28.5000,28.6900,19153092
2020-12-23,28.5000,28.9300,28.5000,28.7500,39301101
2020-12-22,29.0000,29.0100,28.3200,28.4000,63984560
2020-12-21,28.9800,29.2100,28.7500,29.0100,47824714
2020-12-18,29.5200,29.6800,29.2600,29.4000,74417091
2020-12-17,30.0400,30.1200,29.5400,29.6200,61678987
2020-12-16,30.5300,30.5900,30.2400,30.2900,34687525
2020-12-15,30.6400,30.7000,30.2800,30.5800,33433895
2020-12-14,31.2300,31.2700,30.4000,30.5500,42637295
2020-12-11,30.4300,31.0900,30.3900,31.0100,31502190
2020-12-10,31.0700,31.1100,30.4800,30.6900,47031929
